Country,Lat,Lon,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Pop_2055,Pop_2060
Turks and Caicos Islands,21.694025,-71.797928,56095,61504,66725,71821,76817,81634,86092,90041,93448
Tuvalu,-7.109535,177.64933,11350,11824,12228,12551,12829,13090,13341,13567,13735
Uganda,1.373333,32.290275,43249944,50863850,59136233,67953747,77275388,87001576,96972729,107247846,117847348
Ukraine,48.379433,31.16558,43903662,42849568,41679088,40597628,39580308,38538818,37422979,36240597,35041296
United Arab Emirates,23.424076,53.847818,9792173,10093593,10479358,10965355,11473536,11955935,12429115,12869683,13253704
United Kingdom,55.378051,-3.435973,65731269,67292324,68698632,69939841,71071316,72094665,72967167,73693061,74311107
United States,37.09024,-95.712891,332639102,344234377,355100730,364862145,373527973,381390297,388922201,396557404,404483055
Uruguay,-32.522779,-55.765835,3389361,3434298,3475266,3504442,3533156,3551551,3560420,3560882,3551551
Uzbekistan,41.377491,64.585262,30575754,31849722,32916581,33775322,34486116,35081953,35560973,35865922,35946084
Vanuatu,-15.376706,166.959158,297953,322915,347041,370413,392732,413574,432719,449951,465167
Venezuela,6.42375,-66.58973,28612153,31755435,33060119,34187388,35141116,35917969,36513281,36933721,37183691
Vietnam,14.058324,108.277199,101745119,106688169,110900897,114434819,117338534,119568023,121027926,121748314,121833805
"Virgin Islands, British",18.43272728,-64.55419237,37146,40830,44356,47666,50763,53583,56060,58133,59741
"Virgin Islands, U.S.",18.335765,-64.896335,106290,103792,100282,96072,91566,86971,82348,77833,73666
Wallis and Futuna,-13.768752,-177.156097,15809,15998,16104,16126,16090,16031,15971,15875,15699
West Bank,31.96005001,35.23955629,2898556,3151594,3396868,3628844,3846518,4050436,4240579,4414079,4566442
Western Sahara,24.215527,-12.885834,652464,735500,820536,906888,993793,1080412,1166075,1250807,1334350
Yemen,15.552727,48.516388,29810956,32707684,35493132,38207444,40848556,43361928,45693399,47807185,49677410
Zambia,-13.133897,27.849332,18523385,21390969,24493818,27807418,31280029,34852418,38476482,42124057,45770141
Zimbabwe,-19.015438,29.154857,14546146,16030110,17627637,19323074,21114947,22963762,24837643,26720636,28588118
